"acte";"nb_actes";"nb_sej_0_nuit";"dms"
"AEPA0020";"22";".";"10.7619047619047"
"AEPA0040";"15";".";"5.93333333333333"
"AEQH0010";"1293";"763";"1.48313725490196"
"AEQH0020";"96";"40";"2.92631578947368"
"AEQM0010";"2166";"22";"14.1782319391635"
"AFCA0010";"78";".";"12.6190476190476"
"AFCA0020";"120";".";"17.5981308411214"
"AFCA0030";"26";".";"10.32"
"AFCA0040";"3620";".";"31.9639639639639"
"AFFA0010";"52";".";"10.75"
"AFFA0020";"113";".";"11.3693693693693"
"AFFA0030";"256";".";"10.3790322580645"
"AFFA0040";"56";".";"7.55357142857143"
"AFFA0050";"241";".";"12.093220338983"
"AFFA0060";"30";".";"5.9"
"AFFA0070";"686";".";"9.69162995594713"
"AFFA0080";"32";".";"8.3125"
"AFFA0100";"764";".";"10.3740053050397"
"AFFA0110";"21";".";"13.1904761904761"
"AFGA0010";"166";"14";"9.02424242424242"
"AFGA0020";"66";".";"25.3965517241379"
"AFHB0010";"166";"26";"11.0641025641025"
"AFHB0020";"48414";"11138";"7.83708522804016"
"AFJA0010";"170";".";"14.7844311377245"
"AFJA0020";"129";".";"20.5426356589147"
"AFJA0030";"25";".";"14.6"
"AFJA0040";"648";".";"13.2126984126984"
"AFJA0050";"31";".";"18.3214285714285"
"AFJB0020";"2443";"549";"8.52972651605232"
"AFKB0010";"69";".";"7.26153846153846"
"AFKB0020";"29";".";"10.7241379310344"
"AFLA0030";"792";"34";"11.9974059662775"
"AFLB0010";"4887";"681";"4.61919783686345"
"AFLB0030";"8156";"4288";"4.96267325373953"
"AFLB0040";"406";"71";"5.58438287153652"
"AFLB0060";"2047";"494";"4.78890041493776"
"AFLB0070";"19531";"2247";"5.68101062405142"
"AFLB0080";"4320";"22";"12.2879693853145"
"AFLB0100";"482218";"652";"4.30303554062693"
"AFLB0130";"366";"128";"4.24291497975708"
"AFLB0160";"526";"368";"4.3235294117647"
"AFLB0170";"14859";"1496";"8.24178041543026"
"AFLH0010";"2606";"1263";"3.53100158982512"
"AFLH0020";"809";"465";"2.06218274111675"
"AFPA0010";"1220";"14";"19.4956597222222"
"AFQH0010";"1382";"835";"1.53930131004366"
"AFQH0020";"1884";"846";"1.79273504273504"
"AFQH0030";"720";"348";"1.69718309859154"
"AFSA0010";"47";".";"20.7727272727272"
"AFSA0020";"30";".";"8.43333333333333"
"AFSA0030";"651";".";"11.7152"
"AGLB0010";"16671";"2581";"7.17587683523654"
"AGMA0010";"1522";".";"14.3877005347593"
"AGMP0010";"104";"96";"2.08823529411764"
"AGQC0010";"28";".";"26.1428571428571"
"AGQP0040";"942";".";"11.0304678998911"
"AGQP0050";"905";".";"10.0612009237875"
"AGQP0060";"468";"76";"5.0995670995671"
"AHCA0010";"40";".";"3"
"AHCA0020";"137";"74";"1.86666666666666"
"AHCA0030";"225";"70";"2.06278026905829"
"AHCA0050";"54";"26";"2"
"AHCA0060";"51";"20";"1.27450980392156"
"AHCA0070";"36";".";"3.77777777777777"
"AHCA0080";"72";"23";"2.125"
"AHCA0090";"267";"113";"2.04494382022471"
"AHCA0100";"17";".";"17.4705882352941"
"AHCA0110";"58";".";"6.34482758620689"
"AHCA0120";"455";"206";"1.36283185840707"
"AHCA0130";"143";"81";"1.06293706293706"
"AHCA0140";"12";".";"4.11111111111111"
"AHCA0150";"3617";"3035";"0.24266964535046"
"AHCA0160";"460";"222";"1.6092715231788"
"AHCA0170";"20";".";"4.3"
"AHCA0180";"759";"441";"1.07529722589167"
"AHCA0200";"80";".";"3.4875"
"AHCA0210";"57";"11";"3.14035087719298"
"AHCA0220";"96";".";"2.35106382978723"
"AHCA0230";"5373";"4172";"0.34599395313681"
"AHEA0030";"11";".";"2.18181818181818"
"AHEA0040";"41";"17";"3.775"
"AHEA0070";"48";"35";"0.63043478260869"
"AHEA0080";"46";"30";"0.45652173913043"
"AHEA0090";"24";".";"6.33333333333333"
"AHEA0110";"58";"25";"3.29310344827586"
"AHEA0140";"44";"23";"2.27272727272727"
"AHEA0150";"86";".";"4.94047619047619"
"AHEA0160";"436";"352";"0.47196261682243"
"AHEA0180";"33";".";"2.9090909090909"
"AHFA0010";"245";"155";"1.06008583690987"
"AHFA0020";"42";"21";"1.26190476190476"
"AHFA0030";"95";".";"9.81720430107526"
"AHFA0040";"683";"451";"1.10550458715596"
"AHFA0070";"108";".";"6.88888888888889"
"AHFA0080";"47";".";"3.91489361702127"
"AHFA0090";"39";".";"4.82051282051282"
"AHFA0100";"95";".";"3.27659574468085"
"AHFA0120";"40";".";"14.3846153846153"
"AHGA8120";"78";"49";"1.97435897435897"
"AHGB8010";"131";"92";"0.96124031007751"
"AHHA0010";"125";"52";"7.6260162601626"
"AHHA0020";"704";"151";"6.65885797950219"
"AHHB0010";"138";"15";"10.1703703703703"
"AHLA0030";"1362";"1021";"0.49667405764966"
"AHLA8040";"135";"94";"0.82835820895522"
"AHLB0010";"7537";"2683";"2.42117994893159"
"AHLB0020";"988";"557";"3.52699784017278"
"AHLB0030";"605";"476";"0.89043478260869"
"AHLB0040";"5681";"2959";"1.10109338591145"
"AHLB0050";"2878";"1174";"2.45110635260528"
"AHLB0060";"1096";"930";"0.67774699907663"
"AHLB0070";"1904";"1140";"2.25145272054939"
"AHLB0080";"261";"86";"2.69731800766283"
"AHLB0090";"19704";"3486";"5.24493447713278"
"AHLB0100";"499";"210";"3.59627329192546"
"AHLB0110";"1091";"61";"8.61101243339254"
"AHLB0120";"5419";"2097";"3.64537313432835"
"AHLB0130";"1880";"248";"6.88571428571428"
"AHLB0140";"1263";"481";"4.55258899676375"
"AHLB0150";"8802";"4052";"2.89362235308858"
"AHLB0160";"2926";"2247";"0.75137174211248"
"AHLB0170";"1038";"671";"1.62100926879505"
"AHLB0180";"1298";"803";"0.70399373531714"
"AHLH0010";"63";"39";"2.90163934426229"
"AHLH0020";"149";"69";"3.75539568345323"
"AHLH0030";"226";"37";"6.81447963800905"
"AHLH0040";"199";"131";"2.24867724867724"
"AHLH0060";"1531";"389";"3.99601593625498"
"AHLH0070";"1930";"200";"6.40778799351"
"AHLH0080";"51";"43";"0.94"
"AHLH0090";"580";"224";"3.34219858156028"
"AHLH0100";"97";"69";"0.32"
"AHLH0110";"307";"181";"0.63859649122807"
"AHLH0120";"195";"48";"5.12751677852349"
"AHLH0130";"11";".";"6.27272727272727"
"AHLH0140";"2224";"1200";"2.83317445185891"
"AHLH0150";"86";"40";"3.8433734939759"
"AHLH0160";"13";".";"3.92307692307692"
"AHLH0170";"81";"12";"7.44303797468354"
"AHLH0180";"709";"228";"2.48611111111111"
"AHNB0010";"250";"195";"0.53497942386831"
"AHNB0020";"165";"137";"0.32317073170731"
"AHNH0010";"2771";"2298";"0.30123997082421"
"AHPA0010";"4127";"2937";"0.64178369056417"
"AHPA0020";"883";"36";"3.18881118881118"
"AHPA0030";"54";"35";"1"
"AHPA0040";"149";"15";"3.43918918918918"
"AHPA0050";"135";".";"3.41481481481481"
"AHPA0060";"260";"27";"2.74418604651162"
"AHPA0070";"361";"166";"1.44412607449856"
"AHPA0080";"357";"199";"2.13802816901408"
"AHPA0090";"92218";"86362";"0.13454968775159"
"AHPA0100";"622";"222";"2.82686084142394"
"AHPA0110";"6277";"5012";"0.22515073212747"
"AHPA0120";"209";"109";"0.97596153846153"
"AHPA0130";"207";"129";"1.0631067961165"
"AHPA0140";"185";"90";"1.76502732240437"
"AHPA0150";"522";"78";"3.05021834061135"
"AHPA0160";"794";"97";"4.04659949622166"
"AHPA0170";"2130";"267";"6.57210401891253"
"AHPA0180";"54";"42";"0.72222222222222"
"AHPA0190";"472";"225";"1.64427860696517"
"AHPA0200";"924";"210";"2.31995661605206"
"AHPA0210";"3082";"2667";"0.32791680207994"
"AHPA0220";"17042";"13874";"0.51757019247748"
"AHPA0230";"1297";"867";"0.88339768339768"
"AHPA0240";"2128";"1862";"0.46270066100094"
"AHPA0250";"34";".";"6.57575757575757"
"AHPA0260";"871";"535";"0.63719862227324"
"AHPA0270";"1130";"370";"3.81049822064057"
"AHPA0280";"26095";"23588";"0.15787205703764"
"AHPC0010";"49873";"47966";"0.0542825584898"
"AHQB0010";"591";".";"47.3819819819819"
"AHQB0020";"15";".";"4.71428571428571"
"AHQB0030";"12";".";"7.91666666666666"
"AHQB0060";"721";"72";"2.51675977653631"
"AHQB0080";"103";"51";"4.47"
"AHQB0130";"6314";"1297";"8.79265936896329"
"AHQB0150";"240";"65";"4.23430962343096"
"AHQB0190";"13";".";"4.3076923076923"
"AHQB0240";"9708";"2003";"9.58995596561124"
"AHQB0250";"6639";"397";"2.74187698352727"
"AHQB0260";"4451";"598";"4.22633744855967"
"AHQB0270";"2650";"641";"8.68372803666921"
"AHQB0280";"42";".";"9.37142857142857"
"AHQB0310";"44";".";"19.2790697674418"
"AHQB0320";"5069";"978";"10.3893841166936"
"AHQB0330";"5397";"1565";"9.90462427745664"
"AHQD0020";"52";"49";"0.26923076923076"
"AHQE0020";"585";"29";"2.6419965576592"
"AHQJ0210";"605160";"398734";"1.31292810092326"
"AHQP0010";"727";"453";"2.66526610644257"
"AHQP0020";"686";"477";"1.00348432055749"
"AHQP0030";"3759";"1068";"9.71505958829902"
"AHQP0040";"7126";"2585";"4.45175438596491"
"AHQP0060";"9315";"327";"2.44855478861087"
"AHQP0070";"159";"108";"7.19230769230769"
"AHQP0080";"7674";"1645";"9.66989507667473"
"AHQP0090";"8449";"1885";"9.61217792902285"
"AHQP0100";"2166";"456";"11.2068320074871"
"AHQP0110";"10453";"2310";"10.2790400314743"
"AHQP0120";"10728";"2570";"9.12510760401721"
"AHQP0130";"23";".";"8.95454545454545"
"AHQP0160";"1383";"250";"9.94213649851632"
"AHQP9000";"18";".";"2.5"
"AHRP0010";"2079";"471";"9.84752475247525"
"AJFA0010";"256";".";"11.4229249011857"
"AJFA0020";"25";"13";"0.86363636363636"
"AJFA0030";"11";".";"9.8"
"AJFC0010";"43";".";"5.7"
"AJFC0020";"545";"27";"3.20949720670391"
"AJLB0010";"502";"482";"0.04208416833667"
"AJLB0020";"839";"819";"0.02628434886499"
"AJLF0010";"5961";"5926";"0.02116224386966"
"AJLH0010";"37";"24";"1.38888888888888"
"AJLH0020";"12";".";"3.3"
"AJLH0030";"15";"12";"0.26666666666666"
"AJLH0070";"21";".";"28.3333333333333"
"AJLH0080";"18";".";"9.8235294117647"
"AJLH0090";"59";"18";"6.66101694915254"
"AJLH0140";"24";".";"0.75"
"AJLH0150";"12";".";"1.58333333333333"
"AJLH0160";"109";"94";"0.89908256880733"
"AJLH0170";"44";".";"5.81395348837209"
"AJLH0200";"30";"28";"0.33333333333333"
"AJLJ0020";"80";"31";"6.41772151898734"
"AJLJ0030";"11";".";"6.09090909090909"
"AJNH0030";"14";".";"4.46153846153846"
"AJNH0040";"38";".";"6.60526315789473"
"AJNH0080";"92";"20";"7.03333333333333"
"AJNH0090";"12";".";"1.33333333333333"
"AJNJ0010";"13";".";"7.38461538461538"
"AJQP0010";"1533";"1112";"1.94160104986876"
"ALQP0010";"399";"83";"29.6078947368421"
"ALQP0020";"2890";"2695";"0.28029504741833"
"ALQP0030";"47279";"24314";"3.41568704713119"
"ALQP0040";"4313";"3751";"0.62328767123287"
"ALQP0050";"7723";"5676";"2.77319858249114"
"ALQP0060";"78356";"43116";"4.3533766781574"
"AMQP0090";"17167";"2531";"1.72851781128596"
"AMQP0100";"5415";"52";"1.93238700037355"
"AMQP0110";"5720";"690";"5.96383224317045"
"AMQP0120";"60407";"545";"1.35263157894736"
"AMQP0130";"37292";"1285";"1.28426308539944"
"AMQP0140";"8075";"1057";"1.70687200724731"
"AMQP0150";"16668";"30";"1.46896170330429"
"ANLB0030";"928";"675";"1.36658354114713"
"ANLB0040";"2194";"319";"7.77670886075949"
"ANLP0020";"3455";"1047";"5.12345265975242"
"ANMP0010";"122978";"4977";"7.1258031017129"
"ANQP0020";"17";".";"5.23529411764705"
"ANQP0040";"2781";"560";"13.7177015040493"
"ANQP0050";"195";"114";"1.56410256410256"
"ANQP0060";"2399";"670";"6.27545416138572"
"ANRP0010";"7089";"3644";"5.20974934645548"
"AZGA0010";"479";"159";"3.60465116279069"
"AZNL0010";"2739";"2520";"0.1436984687868"
"AZQP0010";"339";"119";"1.19325153374233"
"AZQP0020";"3892";"21";"19.8047423887587"
"AZQX0050";"12168";"51";"11.4961877329718"
"AZRP0010";"19029";"18371";"0.13697015165318"
"BAAA0010";"96";"54";"0.96703296703296"
"BAAA0020";"407";"325";"0.21066666666666"
"BABA0010";"6387";"5014";"0.09775817714075"
"BACA0010";"84";"22";"2.48192771084337"
"BACA0020";"738";"186";"2.88203017832647"
"BACA0030";"861";"448";"3.52375296912114"
"BACA0040";"113";"74";"2.73451327433628"
"BACA0050";"474";"155";"1.96095444685466"
"BACA0060";"170";"42";"2.53254437869822"
"BACA0070";"162";"38";"4.14906832298136"
"BACA0080";"1561";"367";"3.51798561151079"
"BADA0010";"86";"38";"5.26744186046511"
"BADA0020";"53";"34";"0.75"
"BADA0030";"2044";"1624";"0.68448365334717"
"BADA0040";"570";"352";"0.42418032786885"
"BADA0050";"26";".";"3.36"
"BADA0060";"96";"73";"0.40625"
"BADA0070";"69";"58";"0.39130434782608"
"BAEA0010";"6971";"6040";"0.08982412060301"
"BAEA0020";"8079";"6437";"0.17719054242002"
"BAEA0030";"16";".";"1.06666666666666"
"BAFA0010";"421";"360";"0.20466321243523"
"BAFA0020";"2724";"2180";"0.40229885057471"
"BAFA0030";"62";"51";"0.35483870967741"
"BAFA0040";"1611";"1322";"0.10378681626928"
"BAFA0050";"2084";"1677";"0.12414578587699"
"BAFA0060";"7335";"6394";"0.18859710714787"
"BAFA0070";"1567";"1424";"0.17950391644908"
"BAFA0080";"8553";"7354";"0.16635271956675"
"BAFA0090";"2836";"2053";"0.32510729613733"
"BAFA0100";"195";"172";"0.31088082901554"
"BAFA0110";"1482";"1120";"0.31415030467163"
"BAFA0120";"327";"295";"0.14723926380368"
"BAFA0130";"3118";"2634";"0.0378277153558"
"BAFA0140";"3054";"2647";"0.292209963223"
"BAFA0150";"1965";"1782";"0.18968212610734"
"BAFA0160";"44";"38";"0.13636363636363"
"BAFA0170";"453";"380";"0.18763796909492"
"BAFA0180";"46";"36";"0.47727272727272"
"BAFA0190";"810";"749";"0.1325"
"BAGA0010";"111";"72";"1.92233009708737"
"BAHA0010";"307";"254";"0.75081967213114"
"BALA0010";"114";"82";"3.13274336283185"
"BALB0010";"16356";"16103";"0.05106014712245"
"BAMA0010";"84";"49";"3.79761904761904"
"BAMA0020";"132";"88";"1.33076923076923"
"BAMA0030";"92";"62";"0.62790697674418"
"BAMA0040";"6940";"5903";"0.24467924528301"
"BAMA0050";"24";"19";"0.375"
"BAMA0070";"25";"20";"0.33333333333333"
"BAMA0080";"92";"53";"1.19780219780219"
"BAMA0090";"1835";"1555";"0.41091954022988"
"BAMA0100";"1042";"709";"0.60308285163776"
"BAMA0110";"17";"14";"0.94117647058823"
"BAMA0120";"459";"393";"0.18981481481481"
"BAMA0130";"1138";"773";"0.71351835273052"
