,annee,ghm.nro,type,url,10ème percentile de la durée de séjour (en nuitée),95ème percentile de la durée de séjour (en nuitée),Age Moyen,Coefficient de variation,Durée de séjour Maximale (en nuitée),Durée de séjour Minimale (en nuitée),Durée moyenne de séjour (en nuitée),Ecart-Type,Ecart-Type de l'age,Effectif,Mode de la durée de séjour (en nuitée),Médiane de la durée de séjour (en nuitée),Nombre de Décès,Nombre moyen d'actes,Nombre moyen d'actes classants,Nombre moyen d'actes non classants,Nombre moyen de diagnostics associés,Pourcentage de Décès,Variance
2421,2016.0,12K03Z,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=12K03Z,"0,00","1,00","68,51","142,37",1,0,"0,33","0,47","15,35",75,0,"0,00",0,"2,31","1,17","1,13","0,96","0,00","0,23"
2422,2016.0,12K06J,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=12K06J,"0,00","0,00","66,86",,0,0,"0,00","0,00","8,02",19062,0,"0,00",1,"4,17","2,00","2,17","0,32","0,01","0,00"
2423,2016.0,12M031,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=12M031,"2,00","5,00","72,38","54,29",15,2,"2,43","1,32","10,61",380,2,"2,00",15,"4,11","1,65","2,46","1,97","3,95","1,74"
2424,2016.0,12M032,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=12M032,"3,00","15,00","76,89","80,32",47,3,"6,36","5,11","11,30",393,3,"5,00",39,"4,44","1,15","3,29","4,65","9,92","26,10"
2425,2016.0,12M033,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=12M033,"4,00","33,00","74,68","75,12",59,4,"12,12","9,10","16,44",275,4,"9,00",84,"4,56","0,69","3,88","8,15","30,55","82,85"
2426,2016.0,12M034,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=12M034,"6,00","40,00","73,75","73,43",60,5,"15,49","11,38","13,04",85,6,"11,00",39,"5,52","0,67","4,85","10,93","45,88","129,44"
2427,2016.0,12M03T,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=12M03T,"0,00","1,00","68,68","101,61",1,0,"0,49","0,50","9,49",1471,0,"0,00",35,"3,99","1,25","2,73","0,73","2,38","0,25"
2428,2016.0,12M041,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=12M041,"2,00","5,00","70,78","63,96",22,2,"2,67","1,71","9,83",322,2,"2,00",0,"2,44","0,81","1,63","1,97","0,00","2,92"
2429,2016.0,12M042,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=12M042,"3,00","9,00","72,06","55,76",25,3,"4,40","2,46","9,54",379,3,"4,00",2,"2,40","0,36","2,04","3,28","0,53","6,03"
2430,2016.0,12M043,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=12M043,"4,00","11,00","81,90","45,52",26,4,"6,54","2,98","8,10",156,4,"6,00",0,"2,94","0,49","2,45","5,01","0,00","8,86"
2431,2016.0,12M044,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=12M044,"5,00","28,00","84,86","61,84",36,5,"11,29","6,98","6,61",49,5,"8,00",2,"3,53","0,51","3,02","8,43","4,08","48,71"
2432,2016.0,12M051,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=12M051,"1,00","4,00","48,11","67,81",10,1,"1,60","1,08","22,10",590,1,"1,00",1,"1,75","0,47","1,27","1,26","0,17","1,17"
2433,2016.0,12M052,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=12M052,"3,00","9,00","66,86","58,45",27,3,"4,76","2,78","17,61",212,3,"4,00",0,"1,64","0,27","1,36","4,39","0,00","7,75"
2434,2016.0,12M053,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=12M053,"4,00","13,00","79,64","74,09",41,4,"6,64","4,92","11,26",73,4,"5,00",0,"1,77","0,16","1,60","5,26","0,00","24,23"
2435,2016.0,12M054,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=12M054,"5,00","15,00","82,68","33,35",15,5,"8,84","2,95","5,74",19,5,"9,00",1,"2,95","0,32","2,63","8,53","5,26","8,70"
2436,2016.0,12M061,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=12M061,"2,00","6,00","61,87","43,55",15,2,"3,11","1,35","13,47",2432,2,"3,00",1,"1,08","0,02","1,06","2,01","0,04","1,83"
2437,2016.0,12M062,pri,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2016&tgeo=fe&codegeo=99&base=9&ghm=12M062,"3,00","9,00","69,29","52,92",34,3,"4,59","2,43","12,37",1516,3,"4,00",1,"1,60","0,05","1,56","3,70","0,07","5,89"
