,annee,ghm.nro,type,url,10ème percentile de la durée de séjour (en nuitée),95ème percentile de la durée de séjour (en nuitée),Age Moyen,Coefficient de variation,Durée de séjour Maximale (en nuitée),Durée de séjour Minimale (en nuitée),Durée moyenne de séjour (en nuitée),Ecart-Type,Ecart-Type de l'age,Effectif,Mode de la durée de séjour (en nuitée),Médiane de la durée de séjour (en nuitée),Nombre de Décès,Nombre moyen d'actes,Nombre moyen d'actes classants,Nombre moyen d'actes non classants,Nombre moyen de diagnostics associés,Pourcentage de Décès,Variance
5710,2017.0,10M16T,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=10M16T,0,1,"66,77","71,62",1,0,"0,66","0,47","19,74",16549,1,1,700,"1,5","0,04","1,46","2,69","4,23","0,22"
5711,2017.0,10M171,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=10M171,2,9,"2,81","144,93",160,2,"3,92","5,69","4,64",1902,2,2,0,"0,94","0,12","0,82","2,19",0,"32,32"
5712,2017.0,10M172,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=10M172,3,24,"3,66","112,45",98,3,"8,49","9,55","5,16",1025,3,5,0,"1,77","0,24","1,52","4,84",0,"91,23"
5713,2017.0,10M173,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=10M173,4,36,"4,02","409,41",1175,4,"16,64","68,14","5,49",301,4,8,0,"3,29","0,45","2,84","7,08",0,"4643,6"
5714,2017.0,10M174,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=10M174,7,110,"10,85","89,96",202,5,"38,87","34,97","5,89",468,5,27,2,"3,52","0,37","3,15","6,76","0,43","1222,69"
5715,2017.0,10M17T,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=10M17T,0,1,"3,77","92,36",1,0,"0,54","0,5","5,06",1582,1,1,2,"0,86","0,12","0,74","1,43","0,13","0,25"
5716,2017.0,10M181,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=10M181,2,8,"59,97","92,64",40,2,"3,29","3,05","17,51",2054,2,2,38,"2,03","0,38","1,65","4,3","1,85","9,3"
5717,2017.0,10M182,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=10M182,3,19,"70,65","72,77",214,3,"8,46","6,15","16,69",8257,3,7,141,"2,63","0,33","2,31","7,22","1,71","37,88"
5718,2017.0,10M183,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=10M183,5,27,"76,13","59,54",83,4,"12,68","7,55","14,48",6785,7,11,407,"3,16","0,27","2,89","10,24",6,"57,03"
5719,2017.0,10M184,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=10M184,7,44,"69,68","79,63",180,5,"18,56","14,78","18,69",2837,7,15,330,"4,35","0,5","3,85","11,96","11,63","218,33"
